customer_id,name,email,location,age,registration_date,segment
1,Whitney Powell,shanecole@example.com,South Stephenland,64,2020-10-29,Senior
2,Jeffrey Macdonald,emmaingram@example.net,Lake Danielside,44,2021-11-05,Middle
3,Amy Johnson DDS,michael66@example.com,Mariahmouth,59,2023-05-09,Senior
4,Jennifer Peters,joshua63@example.org,Port Christinemouth,45,2021-09-30,Middle
5,Matthew Patterson,mitchellmichael@example.org,Ianland,41,2024-09-05,Middle
6,Richard Sanders,ryan08@example.org,Greenberg,36,2021-12-10,Middle
7,Andrew Smith,ianmartin@example.net,Marcusville,31,2020-11-21,Middle
8,Ariana Phillips,mcdonaldjennifer@example.org,South Justinberg,37,2020-02-25,Middle
9,Robert Garrett,garciamichelle@example.com,East Michael,24,2021-04-12,Young
10,Kayla Francis,kelsey47@example.com,Taraport,20,2021-06-27,Young
11,William Atkins,marcus26@example.com,Loganburgh,27,2023-03-01,Young
12,Tracey Hamilton,egraham@example.net,East Hector,55,2022-09-15,Senior
13,Glenn Cook,huntricardo@example.org,Port Kyleshire,32,2020-05-03,Middle
14,Aaron Johnson,rileykristen@example.net,South Matthewberg,76,2020-04-04,Senior
15,Randall Collins,gonzalezantonio@example.net,Geraldborough,75,2022-02-24,Senior
16,Lisa Carr,phawkins@example.org,Lake Edwardfurt,32,2024-05-04,Middle
17,Keith Green,sherri59@example.org,Gonzaleztown,26,2022-12-05,Young
18,Justin Greene,michael96@example.org,Beckfort,73,2021-04-22,Senior
19,Kenneth Allen,wanda45@example.net,Port Jillburgh,54,2021-11-28,Senior
20,Christopher Perez,joseph90@example.org,Baileyfurt,55,2022-07-23,Senior
21,Catherine Anderson,schwartzjoseph@example.com,South Jenna,53,2023-04-17,Senior
22,Patricia Johnson,alicia03@example.org,Whitneyberg,47,2020-04-01,Middle
23,Madison Walker DVM,mtorres@example.com,Jacksonside,61,2023-08-21,Senior
24,Kimberly Gonzales,ckerr@example.net,West Charles,62,2020-07-15,Senior
25,Richard Carter,michael80@example.net,Brettborough,22,2024-03-28,Young
26,Phillip Perez,bryanbowen@example.com,Elizabethfurt,49,2024-03-22,Middle
27,Michael Mcgrath,chelseagalvan@example.com,East Jonathan,41,2023-07-26,Middle
28,Jason Bowen,gbaxter@example.net,Port Daniel,42,2022-11-25,Middle
29,Derek Valencia,williamsscott@example.net,Justinburgh,50,2020-10-31,Middle
30,David Long,bsanchez@example.net,East Paulborough,39,2020-07-15,Middle
31,Dawn Hall,rodneycox@example.com,Annborough,77,2022-03-31,Senior
32,Joseph Gibson,wgarcia@example.org,Vaughnside,59,2024-01-01,Senior
33,Mike Flores,brittany69@example.net,Lake Joshua,60,2021-07-11,Senior
34,Timothy Key,josephcrawford@example.org,Cliffordborough,28,2020-10-23,Young
35,Gina Barnes,lisawong@example.org,Codyborough,30,2020-12-15,Young
36,Samantha Watson,lmayo@example.com,Webbside,28,2022-02-27,Young
37,Harry Phillips,maryhill@example.com,Douglasmouth,59,2019-12-20,Senior
